,City,Country,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph),Date
0,ilulissat,GL,69.2167,-51.1,100.0,93.0,30.22,0.0,1664595877.0
1,mahebourg,MU,-20.4081,57.7,75.0,68.0,70.09,12.66,1664595877.0
2,kaitangata,NZ,-46.2817,169.8464,0.0,59.0,48.33,5.5,1664595878.0
3,los llanos de aridane,ES,28.6585,-17.9182,100.0,84.0,65.95,10.36,1664595878.0
4,kavieng,PG,-2.5744,150.7967,73.0,73.0,82.98,13.53,1664595878.0
5,cherskiy,RU,68.75,161.3,100.0,60.0,34.09,3.38,1664595879.0
6,port alfred,ZA,-33.5906,26.891,100.0,90.0,59.18,4.0,1664595879.0
7,saint-philippe,RE,-21.3585,55.7679,63.0,79.0,69.22,10.8,1664595874.0
8,tsihombe,,,,,,,,
9,norman wells,CA,65.282,-126.8329,75.0,93.0,44.64,2.3,1664595879.0
10,georgetown,MY,5.4112,100.3354,20.0,77.0,83.89,3.44,1664595818.0
11,new norfolk,AU,-42.7826,147.0587,3.0,38.0,61.72,4.18,1664595797.0
12,atuona,PF,-9.8,-139.0333,3.0,70.0,76.98,17.31,1664595880.0
13,jaca,ES,42.569,-0.5499,59.0,65.0,43.99,3.98,1664595880.0
14,nyurba,RU,63.2842,118.3319,75.0,57.0,32.38,2.73,1664595881.0
15,ushuaia,AR,-54.8,-68.3,99.0,94.0,36.95,8.41,1664595794.0
16,nikolskoye,RU,59.7035,30.7861,49.0,97.0,44.49,4.54,1664595871.0
17,albany,US,42.6001,-73.9662,100.0,87.0,47.44,2.15,1664595648.0
18,sorland,NO,67.667,12.6934,37.0,61.0,48.06,14.83,1664595881.0
19,port keats,AU,-14.25,129.55,100.0,74.0,80.15,6.35,1664595882.0
20,husavik,IS,66.0449,-17.3389,100.0,98.0,44.58,16.82,1664595882.0
21,louisbourg,,,,,,,,
22,ibi,ES,38.6253,-0.5723,7.0,64.0,55.18,3.24,1664595883.0
23,ndiekro,,,,,,,,
24,ahipara,NZ,-35.1667,173.1667,57.0,89.0,64.78,10.31,1664595883.0
25,punta arenas,CL,-53.15,-70.9167,20.0,61.0,46.51,25.32,1664595883.0
26,newport,GB,51.5877,-2.9984,43.0,85.0,59.54,14.58,1664595872.0
27,kutoarjo,ID,-7.7169,109.9128,92.0,81.0,81.9,8.39,1664595884.0
28,hermanus,ZA,-34.4187,19.2345,100.0,68.0,58.41,1.41,1664595884.0
29,dianopolis,,,,,,,,
30,hobart,AU,-42.8794,147.3294,40.0,52.0,62.06,8.05,1664595675.0
31,butaritari,KI,3.0707,172.7902,93.0,77.0,82.15,13.8,1664595885.0
32,halalo,,,,,,,,
33,ponta do sol,PT,32.6667,-17.1,85.0,74.0,70.72,7.54,1664595800.0
34,mataura,NZ,-46.1927,168.8643,0.0,39.0,51.48,5.59,1664595797.0
35,puerto ayora,EC,-0.7393,-90.3518,82.0,98.0,64.54,1.01,1664595885.0
36,barrow,US,71.2906,-156.7887,100.0,74.0,30.22,10.36,1664595796.0
37,bar harbor,US,44.3876,-68.2039,0.0,83.0,53.24,4.61,1664595831.0
38,hami,CN,42.8,93.45,100.0,34.0,60.57,7.87,1664595886.0
39,beloha,MG,-25.1667,45.05,0.0,69.0,69.15,4.27,1664595886.0
40,vaini,TO,-21.2,-175.2,20.0,73.0,78.96,10.36,1664595887.0
41,victoria,HK,22.2855,114.1577,36.0,81.0,89.65,8.99,1664595834.0
42,kapaa,US,22.0752,-159.319,0.0,75.0,84.18,9.22,1664595617.0
43,zamhlay,,,,,,,,
44,rikitea,PF,-23.1203,-134.9692,1.0,76.0,73.63,9.86,1664595887.0
45,albemarle,US,35.3501,-80.2001,100.0,94.0,57.42,20.71,1664595888.0
46,minas,UY,-34.3759,-55.2377,43.0,93.0,48.65,4.45,1664595686.0
47,bredasdorp,ZA,-34.5322,20.0403,100.0,87.0,52.12,4.07,1664595888.0
48,dzhusaly,,,,,,,,
49,upernavik,GL,72.7868,-56.1549,75.0,84.0,19.27,4.52,1664595889.0
50,cidreira,BR,-30.1811,-50.2056,100.0,94.0,60.6,13.71,1664595870.0
51,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,75.0,41.0,55.99,13.42,1664595889.0
52,busselton,AU,-33.65,115.3333,99.0,52.0,68.59,12.95,1664595889.0
53,bambous virieux,MU,-20.3428,57.7575,75.0,68.0,70.05,12.66,1664595890.0
54,provideniya,RU,64.3833,-173.3,100.0,78.0,38.64,25.03,1664595890.0
55,coahuayana,MX,18.7333,-103.6833,79.0,91.0,77.7,2.8,1664595890.0
56,airai,TL,-8.9266,125.4092,100.0,69.0,72.59,1.66,1664595891.0
57,taolanaro,,,,,,,,
58,coihaique,CL,-45.5752,-72.0662,20.0,57.0,44.55,3.44,1664595727.0
59,gat,IL,31.61,34.7642,0.0,84.0,72.28,1.83,1664595891.0
60,barentsburg,,,,,,,,
61,pevek,RU,69.7008,170.3133,100.0,77.0,33.75,3.96,1664595892.0
62,bethanien,NA,-26.502,17.1583,34.0,25.0,58.41,0.54,1664595892.0
63,palmer,US,42.1584,-72.3287,75.0,85.0,52.52,3.44,1664595757.0
64,kahului,US,20.8947,-156.47,0.0,68.0,84.22,25.32,1664595596.0
65,grand river south east,,,,,,,,
66,geraldton,AU,-28.7667,114.6,0.0,41.0,77.41,10.36,1664595893.0
67,yellowknife,CA,62.456,-114.3525,75.0,82.0,52.32,10.36,1664595893.0
68,nizhneyansk,,,,,,,,
69,riyadh,SA,24.6877,46.7219,0.0,15.0,71.74,3.47,1664595615.0
70,asfi,MA,32.2994,-9.2372,0.0,76.0,64.22,16.31,1664595894.0
71,khatanga,RU,71.9667,102.5,100.0,97.0,30.65,13.73,1664595894.0
72,srednekolymsk,RU,67.45,153.6833,100.0,90.0,30.63,13.29,1664595894.0
73,guane,CU,22.2025,-84.0875,92.0,86.0,72.52,4.65,1664595895.0
